"Origem","destino","Distancia"
"10","14","1900.0"
"10","15","2000.0"
"10","16","1500.0"
"10","17","3600.0"
"10","18","2600.0"
"10","19","2100.0"
"10","20","2500.0"
"10","21","2000.0"
"10","22","1000.0"
"10","23","4600.0"
"10","24","3600.0"
"10","25","3200.0"
"10","26","2200.0"
"10","27","1500.0"
"10","28","3000.0"
"11","1","1700.0"
"11","2","1200.0"
"11","3","500.0"
"11","4","700.0"
"11","5","3000.0"
"11","6","3700.0"
"11","7","2300.0"
"11","8","1400.0"
"11","9","1600.0"
"11","10","2600.0"
"11","12","500.0"
"11","13","900.0"
"11","14","700.0"
"11","15","1200.0"
"11","16","2100.0"
"11","17","1000.0"
"11","18","700.0"
"11","19","900.0"
"11","20","1400.0"
"11","21","1900.0"
"11","22","2800.0"
"11","23","2000.0"
"11","24","1700.0"
"11","25","2100.0"
"11","26","2400.0"
"11","27","3100.0"
"11","28","3900.0"
"12","1","1500.0"
"12","2","1400.0"
"12","3","700.0"
"12","4","200.0"
"12","5","2600.0"
"12","6","3300.0"
"12","7","1900.0"
"12","8","900.0"
"12","9","1200.0"
"12","10","2200.0"
"12","11","500.0"
"12","13","500.0"
"12","14","700.0"
"12","15","1000.0"
"12","16","1700.0"
"12","17","1500.0"
"12","18","1200.0"
"12","19","900.0"
"12","20","1400.0"
"12","21","1700.0"
"12","22","2400.0"
"12","23","2500.0"
"12","24","2200.0"
"12","25","2100.0"
"12","26","2200.0"
"12","27","2900.0"
"12","28","3900.0"
"13","1","2000.0"
"13","2","1900.0"
"13","3","1200.0"
"13","4","700.0"
"13","5","2100.0"
"13","6","2800.0"
"13","7","1400.0"
"13","8","700.0"
"13","9","700.0"
"13","10","1700.0"
"13","11","900.0"
"13","12","500.0"
"13","14","200.0"
"13","15","500.0"
"13","16","1200.0"
"13","17","1900.0"
"13","18","900.0"
"13","19","400.0"
"13","20","900.0"
"13","21","1200.0"
"13","22","1900.0"
"13","23","2900.0"
"13","24","1900.0"
"13","25","1600.0"
"13","26","1700.0"
"13","27","2400.0"
"13","28","3400.0"
"14","1","2200.0"
"14","2","1900.0"
"14","3","1200.0"
"14","4","900.0"
"14","5","2300.0"
"14","6","3000.0"
"14","7","1600.0"
"14","8","900.0"
"14","9","900.0"
"14","10","1900.0"
"14","11","700.0"
"14","12","700.0"
"14","13","200.0"
"14","15","500.0"
"14","16","1400.0"
"14","17","1700.0"
"14","18","700.0"
"14","19","200.0"
"14","20","700.0"
"14","21","1200.0"
"14","22","2100.0"
"14","23","2700.0"
"14","24","1700.0"
"14","25","1400.0"
"14","26","1700.0"
"14","27","2400.0"
"14","28","3200.0"
"15","1","2500.0"
"15","2","2400.0"
"15","3","1700.0"
"15","4","1200.0"
"15","5","2400.0"
"15","6","3100.0"
"15","7","1700.0"
"15","8","1200.0"
"15","9","1000.0"
"15","10","2000.0"
"15","11","1200.0"
"15","12","1000.0"
"15","13","500.0"
"15","14","500.0"
"15","16","1200.0"
"15","17","2200.0"
"15","18","1200.0"
"15","19","700.0"
"15","20","500.0"
"15","21","700.0"
"15","22","1900.0"
"15","23","3200.0"
"15","24","2200.0"
"15","25","1200.0"
"15","26","1200.0"
"15","27","1900.0"
"15","28","3000.0"
"16","1","3000.0"
"16","2","3100.0"
"16","3","2400.0"
"16","4","1700.0"
"16","5","1900.0"
"16","6","2600.0"
"16","7","1200.0"
"16","8","1000.0"
"16","9","500.0"
"16","10","1500.0"
"16","11","2100.0"
"16","12","1700.0"
"16","13","1200.0"
"16","14","1400.0"
"16","15","1200.0"
"16","17","3100.0"
"16","18","2100.0"
"16","19","1600.0"
"16","20","1700.0"
"16","21","500.0"
"16","22","700.0"
"16","23","4100.0"
"16","24","3100.0"
"16","25","2000.0"
"16","26","1000.0"
"16","27","1200.0"
"16","28","2700.0"
"17","1","2700.0"
"17","2","2200.0"
"17","3","1500.0"
"17","4","1700.0"
"17","5","4000.0"
"17","6","4700.0"
"17","7","3300.0"
"17","8","2400.0"
"17","9","2600.0"
"17","10","3600.0"
"17","11","1000.0"
"17","12","1500.0"
"17","13","1900.0"
"17","14","1700.0"
"17","15","2200.0"
"17","16","3100.0"
"17","18","1700.0"
"17","19","1900.0"
"17","20","2400.0"
"17","21","2900.0"
"17","22","3800.0"
"17","23","1000.0"
"17","24","2000.0"
"17","25","3100.0"
"17","26","3400.0"
"17","27","4100.0"
"17","28","4900.0"
"18","1","2400.0"
"18","2","1900.0"
"18","3","1200.0"
"18","4","1400.0"
"18","5","3000.0"
"18","6","3700.0"
"18","7","2300.0"
"18","8","1600.0"
"18","9","1600.0"
"18","10","2600.0"
"18","11","700.0"
"18","12","1200.0"
"18","13","900.0"
"18","14","700.0"
"18","15","1200.0"
"18","16","2100.0"
"18","17","1700.0"
"18","19","500.0"
"18","20","1000.0"
"18","21","1900.0"
"18","22","2800.0"
"18","23","2000.0"
"18","24","1000.0"
"18","25","1700.0"
"18","26","2400.0"
"18","27","3100.0"
"18","28","3500.0"
"19","1","2400.0"
"19","2","2100.0"
"19","3","1400.0"
"19","4","1100.0"
"19","5","2500.0"
"19","6","3200.0"
"19","7","1800.0"
"19","8","1100.0"
"19","9","1100.0"
"19","10","2100.0"
"19","11","900.0"
"19","12","900.0"
"19","13","400.0"
"19","14","200.0"
"19","15","700.0"
"19","16","1600.0"
"19","17","1900.0"
"19","18","500.0"
"19","20","500.0"
"19","21","1400.0"
"19","22","2300.0"
"19","23","2500.0"
"19","24","1500.0"
"19","25","1200.0"
"19","26","1900.0"
"19","27","2600.0"
"19","28","3000.0"
"20","1","2900.0"
"20","2","2600.0"
"20","3","1900.0"
"20","4","1600.0"
"20","5","2900.0"
"20","6","3600.0"
"20","7","2200.0"
"20","8","1600.0"
"20","9","1500.0"
"20","10","2500.0"
"20","11","1400.0"
"20","12","1400.0"
"20","13","900.0"
"20","14","700.0"
"20","15","500.0"
"20","16","1700.0"
"20","17","2400.0"
"20","18","1000.0"
"20","19","500.0"
"20","21","1200.0"
"20","22","2400.0"
"20","23","3000.0"
"20","24","2000.0"
"20","25","700.0"
"20","26","1700.0"
"20","27","2400.0"
"20","28","2500.0"
"21","1","3200.0"
"21","2","3100.0"
"21","3","2400.0"
"21","4","1900.0"
"21","5","2400.0"
"21","6","3100.0"
"21","7","1700.0"
"21","8","1500.0"
"21","9","1000.0"
"21","10","2000.0"
"21","11","1900.0"
"21","12","1700.0"
"21","13","1200.0"
"21","14","1200.0"
"21","15","700.0"
"21","16","500.0"
"21","17","2900.0"
"21","18","1900.0"
"21","19","1400.0"
"21","20","1200.0"
"21","22","1200.0"
"21","23","3900.0"
"21","24","2900.0"
"21","25","1500.0"
"21","26","500.0"
"21","27","1200.0"
"21","28","2700.0"
"22","1","3700.0"
"22","2","3800.0"
"22","3","3100.0"
"22","4","2400.0"
"22","5","2600.0"
"22","6","2500.0"
"22","7","1900.0"
"22","8","1700.0"
"22","9","1200.0"
"22","10","1000.0"
"22","11","2800.0"
"22","12","2400.0"
"22","13","1900.0"
"22","14","2100.0"
"22","15","1900.0"
"22","16","700.0"
"22","17","3800.0"
"22","18","2800.0"
"22","19","2300.0"
"22","20","2400.0"
"22","21","1200.0"
"22","23","4800.0"
"22","24","3800.0"
"22","25","2200.0"
"22","26","1200.0"
"22","27","500.0"
"22","28","2000.0"
"23","1","3700.0"
"23","2","3200.0"
"23","3","2500.0"
"23","4","2700.0"
"23","5","5000.0"
"23","6","5700.0"
"23","7","4300.0"
"23","8","3400.0"
"23","9","3600.0"
"23","10","4600.0"
"23","11","2000.0"
"23","12","2500.0"
"23","13","2900.0"
"23","14","2700.0"
"23","15","3200.0"
"23","16","4100.0"
"23","17","1000.0"
"23","18","2000.0"
"23","19","2500.0"
"23","20","3000.0"
"23","21","3900.0"
"23","22","4800.0"
"23","24","1000.0"
"23","25","3700.0"
"23","26","4400.0"
"23","27","5100.0"
"23","28","5500.0"
"24","1","3400.0"
"24","2","2900.0"
"24","3","2200.0"
"24","4","2400.0"
"24","5","4000.0"
"24","6","4700.0"
"24","7","3300.0"
"24","8","2600.0"
"24","9","2600.0"
"24","10","3600.0"
"24","11","1700.0"
"24","12","2200.0"
"24","13","1900.0"
"24","14","1700.0"
"24","15","2200.0"
"24","16","3100.0"
"24","17","2000.0"
"24","18","1000.0"
"24","19","1500.0"
"24","20","2000.0"
"24","21","2900.0"
"24","22","3800.0"
"24","23","1000.0"
"24","25","2700.0"
"24","26","3400.0"
"24","27","4100.0"
"24","28","4500.0"
"25","1","3600.0"
"25","2","3300.0"
"25","3","2600.0"
"25","4","2300.0"
"25","5","3600.0"
"25","6","4300.0"
"25","7","2900.0"
"25","8","2300.0"
"25","9","2200.0"
"25","10","3200.0"
"25","11","2100.0"
"25","12","2100.0"
"25","13","1600.0"
"25","14","1400.0"
"25","15","1200.0"
"25","16","2000.0"
"25","17","3100.0"
"25","18","1700.0"
"25","19","1200.0"
"25","20","700.0"
"25","21","1500.0"
"25","22","2200.0"
"25","23","3700.0"
"25","24","2700.0"
"25","26","1000.0"
"25","27","1700.0"
"25","28","1800.0"
"26","1","3700.0"
"26","2","3600.0"
"26","3","2900.0"
"26","4","2400.0"
"26","5","2900.0"
"26","6","3600.0"
"26","7","2200.0"
"26","8","2000.0"
"26","9","1500.0"
"26","10","2200.0"
"26","11","2400.0"
"26","12","2200.0"
"26","13","1700.0"
"26","14","1700.0"
"26","15","1200.0"
"26","16","1000.0"
"26","17","3400.0"
